D_id,G_id,paper
MESH:D003398,7253,12
MESH:D003398,7039,18
MESH:D003398,9241,9
MESH:D003398,7040,15
MESH:D003398,5327,6
MESH:D003398,3630,11
MESH:D003398,4041,2
MESH:D003398,207,10
MESH:D003398,3565,15
MESH:D003398,7545,5
MESH:D003398,5789,1
MESH:D003398,23522,4
MESH:D003398,808,9
MESH:D003398,8074,12
MESH:D003398,8318,8
MESH:D003398,4586,8
MESH:D003398,1401,21
MESH:D003398,3576,21
MESH:D003398,9401,11
MESH:D003398,23384,4
MESH:D003398,64399,17
MESH:D003398,8036,2
MESH:D003398,257,10
MESH:D003398,1499,6
MESH:D003398,3456,1
MESH:D003398,1363,1
MESH:D003398,10238,1
MESH:D003398,3589,9
MESH:D003398,3265,4
MESH:D003398,171023,7
MESH:D003398,11261,11
MESH:D003398,3590,11
MESH:D003398,2778,6
MESH:D003398,3572,4
MESH:D003398,250,17
MESH:D003398,6495,1
MESH:D003398,5172,1
MESH:D003398,1755,1
MESH:D003398,2931,4
MESH:D003398,973,4
MESH:D003398,2264,14
MESH:D003398,2249,4
MESH:D003398,10631,7
MESH:D003398,51715,12
MESH:D003398,10344,2
MESH:D003398,7048,15
MESH:D003398,6469,10
MESH:D003398,3586,16
MESH:D003398,122786,1
MESH:D003398,3549,6
MESH:D003398,1351,12
MESH:D003398,940,7
MESH:D003398,222256,2
MESH:D003398,9350,2
MESH:D003398,6352,5
MESH:D003398,2200,13
MESH:D003398,3558,13
MESH:D003398,51659,1
MESH:D003398,3480,11
MESH:D003398,5293,1
MESH:D003398,10178,1
MESH:D003398,2735,4
MESH:D003398,6358,12
MESH:D003398,54880,2
MESH:D003398,943,3
MESH:D003398,51297,1
MESH:D003398,10047,4
MESH:D003398,79648,2
MESH:D003398,4000,2
MESH:D003398,3600,3
MESH:D003398,84168,3
MESH:D003398,2253,8
MESH:D003398,384,1
MESH:D003398,80341,1
MESH:D003398,653820,1
MESH:D003398,6493,1
MESH:D003398,149233,1
MESH:D003398,23463,1
MESH:D003398,1437,14
